idx,class,conversation
10,일상 대화,"  우리집 보일러가 지금 고장이 나서 이번겨울에 걱정이야
  어머 어떻게 지금 딱 고장이 났어요
  세탁기도 고장나서 세탁을 못하고있네
  세탁기는 뭐 빨레방도 있어서 괜찮은데 보일러는 어떻해요?
  맨날 빨래는 빨래방가서 하고있고
  보일러 비용이 많이 들어가지않아요?
  보일러을 통으로 갈아야 한다고하는데 돈도 없고 큰일이네
  하필이면 이럴때 고장나서 어떻해요
  그래서 부탁좀 하는데 돈좀 있음 융통좀 해줄 수있니?
  저두 지금 여유가 하나도 없어 어쩌죠"
11,일상 대화,"  나 요즘 스도쿠에 완전 빠졌어
  스도쿠? 빈칸에 숫자 채우는 게임?
  그건 게임이 아니라 공부하는 것 같아...
  맞아 그래도 뭔가 집중하게 되고 하나하나 채우다보면 재미도 있어
  난 중학생 때 많이 했던 것 같아 사고력 키우기 같은 거 하면서
  맞아 나도 학원에서 풀어봤던 기억이 난다
  이제는 핸드폰으로 할 수 있어서 좋더라구
  아 그래? 그래도 옆에 메모를 따로 못해서 불편할 것 같은데
  핸드폰 자체 메모 기능 있지 않을까?
  난 그래서 난이도 하로 하고 있어
  그럼 너무 쉬워서 재미 없을 것 같은데
  나도 오랜만에 한번 해봐야겠다"
12,일상 대화,"  내 동생한테 편지 왔는데 화생방하다가 가스가 방독면 안으로 새서 죽는 줄 알았대.
  화생방 훈련했으면 거의 훈련 끝 무렵이겠네. 고생했네.
  화생방이라니… 난 죽어도 못 할 것 같아.
  나도 TV에서나 봤지. 보니까 엄청 고통스러워 보이더라.
  나도 군대에 있을 때 처음 화생방한다고 했을 때 엄청 긴장했어. 너무 무서워가지고.
  가스 들어가면 엄청 고통스럽다며... 무슨 느낌이야?
  눈물, 콧물 다 나오더라...
  그래도 요즘에는 방독면 쓰고 들어가서, 방독면 벗고 다시 결합하는 정도로 많이 하더라고...
  그래도 엄청 공포스럽지 않아?
  우리 아빠 얘기 들어보면 방독면 안쓰고 노래부르라고 시키고 그런다고 하던데...
  요즘은 예전처럼 그렇게 힘들게는 안하는 것 같긴한데... 그래도 힘들긴하지...
  아우... 난 생각만해도 너무 고통스러워..."
13,일상 대화,"  엄마 안소니 죽었더라?
  안소니가 왜 죽어?
  들장미 소녀 캔디에 나오는 안소니 말이야
  그래. 그 안소니가 왜 죽어?
  낙마 사고로 죽었대
  어쩌다가?
  자세한 건 모르겠고 찾아보니까 그렇게 나와
  테리우스는?
  테리우스는 살아 있어
  다행이네"
14,일상 대화,"  이 소개팅 하나 들어왔어
  오 대박 누가 해주는거야?
  우리 처제가 해주는거야
  처제? 뭐하는 사람이래?
  응 피아노 학원 다니나봐
  피아노 선생님이야?
  응 맞아 거기서 애들 가르쳐
  아니 그럼 이가 거절할 듯
  아니 왜 지가 뭔데 거절해?
  걔 외모 직장 다 비교하잖아"
15,일상 대화,"  바닷가에 한적한 전원주택이 좋아 아니면 도심의 아파트가 좋아?
  바닷가보다는 산이 좋은데 나는.
  난 바닷가가 좋을거 같네 바다가 주는 좋은 느낌이 있더라
  자차만 있으면 한적한 바다로 좋을거 같은데
  다대포에 살때 안개랑 해무때문에 불편했었어.
  그러게 바다 근처면 또 나름대로의 고충은 있지
  정말 부자는 바닷가 주택에 사는게 아니라 콘도를 짓는다고 해.
  바닷가의 콘도나 저택은 생각만해도 흐뭇하구나.
  난 콘도가 아니라도 원룸이라도 짓고 싶네
  정말 산에도 바닷가에도 콘도가 있는 부자친구 있었으면 좋겠다.
  음 그런 친구가 있다면 오늘당장 베프가 될 자신이 있어.
  그정도로 잘 살면 정말 걱정없이 살 수 있을까"
16,일상 대화,"  쿠키 때문에 일상 생활 불가 정도...
  나 달마다 만원씩 충전한다
   괜찮 나도임 그걸 어떻게 참아
  약간 캐시 느낌이야
  미리 볼 수 있는거
  당연하지  진짜 꿀이지 않아?
  너무 재미있어 한번 시작하면 못 끊음
  나는 내가 보는 것들 이미 한달씩 다 미리 보기함
  너도 나랑 같이 망했네
  앞으로 평생 쿠키 구우며 살지 뭐
  나는야 제빵사
  제빵사 뭔가 귀엽다
  나는 쿠키 들어오는 카드 써
  헐 그런 게 있어? 나도 알려줘"
17,일상 대화,"  나 테트리스 진짜 잘 한다?
  무슨 소리야 테트리스는 너보다 나지
  너희 다 그만 해
  내가 제일 잘 하니까
  테트리스 랭킹 몇인데
  난 등까지 해봤다
  나는 등 했지 당연히
  애들아 너희 그거 우리 집 앞 오락실 아니야?
  응 맞는데 왜?
  넌 거기서 등이잖아
  아니 거기는 진정한 그라운드가 아니야...
  영등동에서 했었야지
  테트리스 지니까 괜히 오락기 탓 하네
  영등동에서 해도 등 나오던데
  지금 테트리스 한 번 붙자
  내가 저번에 이겼던 것처럼 바로 이겨줄게
  너희들 항상 나한테 지잖아..."
18,일상 대화,"  중고차 한 번 사볼까 하는데 어떨거 같아?
  나도 첫차는 중고차였는데 괜찮다고 생각해
  맞아 처음엔 중고가 낫지
  운전 연습 겸 중고차도 괜찮을 듯 해서
  차는 어차피 사자마자 반값되잖아
  그건 그래 타자마자 중고야
  맞아 차는 굳이 새차 안사도 될거 같더라?
  그리고 초보는 이래저래 잘 박으니까
  그래 너 엄청 박을걸
  중고차는 어디서 알아보는게 좋을까?
  요즘은 앱같은것도 있던데
  직접 가보는게 어때
  지역마다 큰 매장들이 있대
  그렇다고 하더라구 괜찮은 딜러 있으면 좋은데
  잘 아는 사람 있으면 소개시켜줘"
19,일상 대화,"  너네 집에서 물고기 키워본 적 있어?
  아니 없어  너희는?
  나도 없어! 근데 궁금하더라
  나는 구피 물고기랑 금붕어 붕어 키워봤어
  우와 이는 많이 키워봤다
  구피는 정말 동료들을 먹어?
  우아 물고기 키우는 재미는 어때?
  근데 진짜 어릴때 아직도 생각나는 것이 금붕어가 서로 물어 뜯어서 죽어있어...
  맞어 물고기는 자기 동료들을 먹고 물고 막 그러더라 
  아이고 물고기는 물고 뜯는게 있다더라 너무 슬퍼
  응 꼬리가 반이 사라져 버리더라 
  금방 잘 죽고 그래 구피는 번식력이 엄청나 그래서 잡아 먹어도 티가 안나
  자기가 낳은 자식도 먹고 또 낳고 자라고 낳고 먹고
  놀랍고 무서움 
   키우기 무섭다..."
20,일상 대화,"  나는 가끔 우리집 강아지랑 통화하고 싶다는 생각을 한다?
  맞아 어떤생각을 하는지 너무 궁금해
  오? 나는 그런생각 안 했는데 신기한 발상이다
  나 집에 잘들어왔고 다음에 볼때까지 건강하게 잘 있어 라고 말하고싶어 
  그러면 뭔가 슬프지?
  응... 강아지도 의사를 표현할 어떤 동작이 정해져있기라도 하면 좋은데...
  아직 내가 동물을 키워보지 않았지만 식물을 키워보니 그마음 이해 될것 같기도 하다
  그래서 강아지 생각 읽을 수 있는 기계 한번 써봤었는데 진짜인지는 모르겠어 
   그냥 인간이 지어내는 거 같기도 해...
  아 그거 유튜브 보니까 엄청 신기하긴 한데 네 집에도 있어?
  응 있는데 한번 써봤어! 어떻게 강아지 목소리로 해석을 할 수 있어 
  우리가 강아지도 아닌데 나도 믿진 않아 그냥 재미로~ 해본거지
  그래도 는 강아지와 통하는 무언가가 있을거야!
  맞아 는 눈만 봐도 강아지랑 의사소통 할 것 같아 "
21,일상 대화,"  다들 부모님 어렸을 때 사진을 본 적이 있어?
  나는 있어!
  본 적이 없어.
  그럼 할머니나 할어버지한테나 다른 어른한테 아빠 닮았네 엄마 닮았네 하는 소리 들어본 적이 있어?
  나는 아빠가 엄마를 닮았다고 했어.
  예전에 친척집에 갔는데 거기서 어르신이 나한테 아빠 어렸을 때랑 똑같네 라고 했어.
  나도 오늘 엄마 사진을 봤는데 나랑 엄청 닮았더라.
  그런거 보면 신기하지 않아?
  맞아, 다른거 같으면서도 또 닮은 모습을 보니까 신기해.
  이게 다 유전자 때문이래.
  그래서 유전자의 힘이 무섭다고 하는구나.
  귓볼이나 신체 등에서도 유전자에 의해 전해 내려온대.
  심지어 특정 암도 유전이라고 하더라.
  그러면 그 암에 대해 특히 더 조심하고 자주 검사 받으면 되겠네.
  나도 꼭 내 닮은 자녀를 낳을거야!"
22,일상 대화,"  아 비행기 타러 가고 싶엉
  하늘 날고 싶어 나 요즘
   뭐래 못 날아
  그래도 몇 달 전에 갔잖아
  맞아 여기서 제일 최근은 너야
  아... 그런가...
  그래도 난 비행기 살면서 그때 타본 게 다인걸
   그래도 제일 최근이야
멋져
  나도 별로 없어
  근데 탈 거면 퍼스트로 타고 싶어
  이코노미는 뭐 벌칙이냐
   아 웃기넹
  퍼스트는 비행기 좌석 중에 젤 좋은 곳잉야?
몰라
  갈 수 있을까 이번 생에
  제일 좋지
  막 누울 수도 있고 잠옷도 준대
  헐 정말?
  내 꿈은 이제 비행기 퍼스트? 타는 거다
  퍼스트가 일등석인가 그럼 가장 좋은 건가
  그렇지 않나?
  거기는 간식도 챙겨주고 와인 이런 것도 제공되고 수면 안대 이런 거 다 줘 세면도구까지도
  아옹 사실 지금은 그냥 창가자리기만 한다면 무슨 자리든 좋을 듯
  비행기에서 하늘 내다보고 싶어
  맞아 구름 보고 싶어 뱅기 안에서
  창가자리도 빡세지 않나 이코노미 
  맞아 진짜 날씨 좋을 때 가고 싶어
  웅 맞아 흐하 생각만 해도 힐링
  난 비 올 때 타보고 싶던데
  비 올 때 하늘 궁금"
23,일상 대화,"  가족들이랑 고기 먹으러 갔는데 다 셀프여서 고생 좀 했어 …
  그런 가게 있지... 손님인데 다 셀프로 시키는 게 말이 되냐
  맞아... 요즘 들어 그런 가게가 너무 많이 생겨. 돈을 덜 받는것도 아니고.
  그니까... 서비스 받으려고 직접 가는 건데 그럴거면 그냥 시켜 먹었지
  부모님이 혼란스러워 하셔서 괜히 내가 미안하더라고.
  편하게 드셨으면 좋았을텐데.
  내 말이 그거야. 내가 잘 못 고른 것 같아.
  걱정마. 그래도 부모님이 네 탓은 안할거야.
  그랬으면 좋겠어. 앞으로는 부모님 생각해서 잘 골라야 할 것 같아.
  가족들 데리고 외식하는 게 쉬운 일이 아니야."
24,일상 대화,"  엊그제부터 미세먼지가 살짝 안 좋아요
  당분간 특별한 미세먼지 소식은 없던데 그래요?
  저번주에도 살짝 안 좋은지 뿌옇더라구요
  슬슬 추워지니 나빠지겠죠?
  추워지면 공기 나빠져요?
  중국에서 난방시작하면 그렇대요
  걱정이네요 이제 곧 겨울인데
  그래서 겨울이 싫어져요
  마스크 잘쓰고 다녀야겠어요
  네 그나마 애들이 마스크에 잘 적응해서 다행이에요"
25,일상 대화,"  아는 군인 있는 사람~
  군인들은 사택 나와서 집 걱정이 없음
   요새 군인 아는 사람 있나
  달팽이 크림 좀 사다 줘
  나 친구 군인 많음
  나는 아아 직업군이 있겠네 
  근데 군인 남편은 난 별로야
  피엑스 찬스 쓸까
  내 동생 군인일 때 좋았는데
  계속 이사 다녀야 하고
  양주는 필요 없냐 대량으로
  핫팩도 싸고 진자 다 싸드라
  엄청 권위적일 꺼 같음
  이사 다녀도 집값 없음
  오오 양주도 팔아?
  양주도 파나 거기?
  돈 잘 모을 듯
  아 글치
  그건 좋은데 너무 그래
  군인은 빡세"
26,일상 대화,"  모더나 ceo가 세 이상은 매년 백신 맞아야 한다고 했대
  헐 그럼 우리 매년 주사 맞아야 해?
  웅웅 이제 그래야 하나 봐
  청소년도 검토중이래
  아 대박이네
  청소년은 지금 백신도 위험한 거 아니야?
  그니깐,
  그래서 사람들은 반대하고 있다더라구
  응 그리고 그거 맞을 때마다 우리가 돈 내고 맞아야 해?
  거기까지는 모르겠는데 돈 내고 맞아야 할 것 같어
뭐야
  지원도 안 해주는데 누가 매년 맞아
맞아
  독감백신도 비싼데 코로나 백신까지 맞으면 난 안 맞을래
  그러니까
  또 그건 엄청 비쌀 거 아니야 
맞아
  독감이 원이야
  그럼 더 비싸겠지?
  안 아프려면 예방하는 게 맞는데 그런 건 나라에서 지원해줬으면 좋겠어
맞아
  나라에서 이건 지원해줘야 맞는 거야
  내말이
  이런 건 알아서 나라에서 잘 해결 해줬으면 좋겠어
  그러게
  이제 나라끼리 협상할 것 같아"
27,일상 대화,"  결혼하기 전에는 시댁 고민하지 마 
  그래 그냥 하고 생각해
  아 근데 벌써부터 말하시니까 신경 쓰여 
  그냥 결혼 준비만 열심히!
  지금은 아직 시댁아냐 
  자주 보자고 하셨다고 
마자
  결혼식 준비만 철저히!
  결혼 준비 빡시겠다 
  아니 너무 코앞이랴 
   자주 보면  싸우는데
  그래도 나름 재밌지 않아?
  진짜 엎어지면 닿을 거리 
  나름의 거리를 둬야 행
  재미... 없... 니 ? 
  재밌을 거 같애
  윽 전혀 안 재밌을 듯 
  나의 생각은 그게 편한 듯 
  나는 년 차에 리마인드 하고 싶어
  시댁은 넘나 어려운 것 "
28,일상 대화,"  요즘 버스비 얼마냐궁...
  버스비 요즘 얼마야?
  요즘 버스비 잘 몰랑 
  내 카드로 탈 수 있을까?
  버스 안 탄 지 몇 년 된 듯 
   요즘 카드 다 될껄?
  내 카드는 카카오 카드야
  그 교통 적혀있음 되는데
  카카오 카드 무조건 댐 
  카카오 카드로 버스 탈 수 있니?
  한번 적혀있는지 봐봐
  요즘 후불카드 다 되자나
  교통 안 적혀 있어..
  오호 되는 거야 나 몰라
  무조건 되는 걸껄 아마
  버스비 돈으로 내도 되제?
  옛날에 마이비 카드 기억나니
   돈으로 내도 되지
  아저씨 싫어할 둣"
29,일상 대화,"  이번 주말에 내 생일이잖아
  응, 맞아. 그래서 남자친구랑 뭐 하기로 했어?
  아니, 아직 모르겠어. 그래도 오랜만에 외출이라도 하려고
  언니는 기념일을 안챙긴다고 했잖아, 그럼 생일 선물도 안줘?
  응, 딱히 없어. 그냥 필요한게 있으면 서로 말하기로 했는데, 아직은 없네
  그래도 생일인데 선물이 없으면 서운하지 않아?
  음, 별로 그런 생각은 안해봤어, 오히려 내가 잘 안쓰는 물건을 받으면 조금 당황스럽더라고
  맞아, 그런 선물을 받으면 어떻게 해야하나 조금 난감하지
  그래서 그냥 내가 각자에게 필요한 선물을 하는 게 더 낭비도 없고 좋은 것 같으니까
  필요한 걸 말하자고 했어
  현명한 선택이네, 그럼 정말 필요한 때에 원하는 걸 선물 받게 되니까 좀 뜻 깊고 좋긴 한 것 같아"
30,일상 대화,"  요즘 대학생때로 돌아가면 하고 싶은 아르바이트 있으세요?
  저는 또래많은 알바하고싶어요!
  저는 편의점 아르바이트요
  저는 카페 해볼껄 아쉽더라구요.
  우와 편의점 카페 모두 좋은데요?
  요즘 시급 천원이던가요?
  시급 진짜 많이 올랐네요
  그러게요. 시급 많이 올랐어요.
  내년되면 만원 찍을까요?
  그럴것 같아요
  그럼 몇년만에 확 오르는데요.
  편의점 알바하면 삼각김밥 공짜로먹는거 아닌가요?
  폐기를 먹을 수 있다더라구요
  저는 천원 초반대 해본거같아요 아르바이트!
  폐기라해도 얼마안된거 일듯 
  저는 기억이 안나용 얼마였는지
  저는 안해봐서 모르겠네요"
31,일상 대화,"  수술 해 본 경험 있니?
  안 아프고 행복하게 살자 ~
  난 아직 없다 
  수술 무서워
  난 쌍수 밖에  없는 듯
  무병장수가 최고의 미덕이여
  아 그전에 너무 무서울 듯
  는 성형 안 했제?
  난 포경수술 했지 학년 때
  하기 전에 수술은 웅
  수술할 때 진짜 개 무서움
  지금도 그때 기억 지우고 싶음
  난 안 했지 코하고 싶은데 
  마취 할 때 완전 무섭...
  마취 느낌 너무 싫다 
   맞제
  그게 의식 있으면 수술대 넘 무서울 듯
  코 왜 하고 싶데 이미 완성형
   이쁜가 보네 축하해
   아니
머래
  그냥 어디든 하고 싶은 맘"
32,일상 대화,"  알고 있지만 봐야 하는데
  그건 뭐야 알고있지만
  알고 있지만 뭘 봐?
  그거 졸 잼 이라던데 볼 시간이 없다
  뭔 드라마니 뭔데
  너 계속 무슨 소리니? 알고 있지만?
  알고 있지만 이 제목이야... 한소희 나옴
  나만 모르네 뭔가 
  또 나도 모르네
  환승 연애 보신 분 있나여? 
  어디서 하는 드라마니
  그것도 안 봤어 드라마 어디서 하니?
  환승 연애 한데... 
  환승연애는 졸잼이었지 완젼
  나 티빙도 가입했는데
  그건 리얼리티야 !
  우리도 티빙 가입함 
  드라마 챙겨볼려고 티빙에 넷플릭스 가입했어"
33,일상 대화,"  아옹 오늘 쉬었으니까 내일 가면 또 해야 할 업무가 많이 밀렸겠지 ...
   허르 그렇군 오늘 쉬는 날이었네
  아 알바 진짜 가기 너무 싫다 
  아옹 나도  진짜 알바 아니고 직장생활이었으면 그래도 취업해야 하는데 하는 조급함이라도 없는디
  그러게 걱정이다
  취업도 언제 하냐
  난 아직 년 학교 더 다녀야 하긴 하는데 진로가 없어 방향성조차도
  그냥 뭐 스펙 쌓고 그러는 거지
  그니까 그냥 일단 뭐라도 해야겠어
  방향성이 없으니까 스펙도 뭘 쌓아야 할지 모르겠엉
  아 하긴 ...
  근데 무슨 일을 하든지 꼭 필요한 스펙이 있지 않아 공통된 거 ?
  그냥 영어를 하면 되는 건가
  아니 그건 학과, 직종마다 다 달라서 뭐라고 못하지
  어쨌든 너가 하는 학과랑 거기에 보기가 주어진 직종은 있을 거 아니야
  하긴 그건 또 그렇겠다 
  몰라 그런 거 없어
  그게 없어...
  선배들이 많이 취업하는 곳으로 방향을 잡는데 우리는 그게 없어...
  아 ... 하긴 취업이라는 게 진짜 쉽지도 않고 정하기도 어렵고
  맞아 큐큐큐 진로는 취업해도 고민한다고 하니까
  뭘 할지 조차 몰라서 진짜 당황스럽 "
34,일상 대화,"  날씨 점점 우중충쓰...
  나 이제 따뜻한 아메리카노 먹어야지
  이런 날 기분도 다운되는데
  오늘 일기 예보 보신 분
  오늘 비 온대요
  얼죽아 몰라?
  추워도 아이스로 갈겨
  일기 예보 중계 좀여
  비요?
  우산 챙기셈
  감기 걸리면 맛 감
  오늘 비 진짜 온다고?
  오늘 비가 온대? 몇 시
  따죽아야
  난 몸이 추워
  이이잉... 나가야 되는데 나가기 싫다
  얼마나 온다던디?
  오늘 시부터 비 온다
  우산 챙겨라
  우산 챙기기 귀차나
  산청 날씨 본 거 아니구?
  미리 정도 온다고 본 듯
  산청은 비 많이 오자너"
35,일상 대화,"  우리 동네 집값 미친듯
  요즘 집 값 다 미쳤어 
맞아
  집 값 많이 올랐더라
  우리 아파트 년 넘었는데 억이래 
  와 대박
  거기 물가가 높은가 보네 
억
  저기 세종은 억이라고 하더라
  헐 세종
  근데 세종은 새도시라 좋아
맞아
  세종이 지금 엄청 올라갔어 
  응 맞아
  세종으로 이사 가고 싶다
  그러게 
  세종은 계속 오르나봐 휴
  이제 더이상 오를 것도 없을 듯 
  응 진짜 세종에 아파트를 하나 샀어야 하는데
  그러게,
  거기 청약 당첨 받고 싶다
  아 청약 좋지 
  그래도 프로 자본 있어야 해...
  나도 청약 어디다 넣을까 지금 고민중
  세종 나성동이 제일 좋다 하던데
  난 세종 무슨 동 있는지 잘 몰라 
  아 내 친구도 나성동에 사는데"
36,일상 대화,"  여기 학원이 많이 없어
  요샌 난 다도 배운다
  그니까 많이 없드라 
  초딩들은 진짜 많은뎈 
  다도가 뭐냐면 차 배우는 거임
  오 다도  나도 그런 거 좋아
  여기 와서 영어 학원 차리라니까
  초딩들도 다도 가르쳐야 함
  그래 따땃하게 건강 그거네 
  다도 나도 안다고 
  예의범절도 배우고 기술도 배우고
  그래 다도 알지
  우리 했자나
    화사가 쓰는 거 존예던데
  다도가 얼마나 중요한데
  기가 시간에 배웠음 이미
  화사 꺼 사고 싶더라...
  화사가 요새 핫한가 보네
  화사 꺼 이뿌드나 "
37,일상 대화,"  학교 다닐 때 공부 열심히 했니
  응 난 꽤나 열심 
  난 공부와 담을 쌓긴 했어...
  난 아주 성실한 학생
  근데 그리 잘 나오진 않아서 실망 
  도 머리 진짜 좋은데 부럽 ;
  은 공부 안 했구나?
  그래도 학생 때가 좋았지 
  응 나 고등학교 때는 그래도 좀 했아
  하지만  모교는 쌍둥이가 있지!
   공부가 전부는 아냐 
  아 최악인데? 그럴 수가
  마자 공부는 아무것도 아냐
  지금 행복하면 된거여 
  맞아요 내가 공부 안 하길 잘했다는 생각이
  그때부터 유튜버 했었어야 함
  지금 행복하지 ?
  진짜 행복 유튜버 했어야 함"
38,일상 대화,"  얌 우리 바다 갈 때 데려 가자
  헐 너무 귀여울 듯 
   완전 물 맛날 듯  거북
  간지날 듯 바다 수영 시켜주기
  근데 바다로 가서 안 오면 어째
   들어가는데 년 걸릴 듯
  빠지 갈 때 데려가면 인싸다
   유튭 바로 각 아닙니까
  진짜 인스타 스타 함 되볼깡
  니가 먼저  훈련을 시켜야지
  조회수 만은 될 듯 
  거북이와 한 컷  간지
  이름 부르면 당장 올 정도
  나 그럼 키워야겠어
  이름 외우는데 년 걸리듯
아냐
  거북이 똑똑행...
  한테 허락 받아야 해 
  거북이 똑똑한 거 첨 암"
