idx,class,conversation
10,일상 대화,"  이번에 ai에 대해서 배울 기회가 있는데 들어볼래?
  어떤 건데?
  요즘 ai에 대한 직업이 인기가 많다던데~
  맞아 그래서 국가에서도 밀어주나 봐
  아~ 나라에서 알려주는 거야?
  그럼 교육비도 비싸지 않겠네?
  응응 비싸지 않은 게 아니라 공짜야
  우와! 공짜면 배워볼 만하겠는데?
  너무 좋다!
  어떻게 배우는 거야?
  내가 자세히 알려줄게!
  기다려봐
  뭔가 배우고 싶었는데 잘 됐다!
  응응 기다릴게~"
11,일상 대화,"  머리가 너무 덥수룩해서 다듬어야 할 거 같지?
  많이 자라긴 했네.
  이도 파마 해보는 건 어때?
  특수 퍼머를 해보고 싶기는 하지.
  특수 퍼머가 뭘 말하는 거지?
  나는 남자들 많이 하는 다운펌과 볼륨펌을 말한 건데.
  맞아 요즘 남자들 그 퍼머 많이 하더라.
  응~ 우리 남편도 했는데 관리가 편하다고 하더라고.
  나는 평범한 퍼머 말고 레게머리나 드레드 헤어 같은 머리를 하고 싶어.
  나이를 생각해야 하지 않을까?
  직장에서 가만히 있지 않을 걸~
  어렸을 때는 자유로운 영혼이었는데 아쉽군.
  하하 예전에 어땠을지 눈에 선하다.
  현실로 돌아와서 적응하며 사세요
  그래야겠지? 휴우 ~ 오늘 머리나 다듬으러 가야겠다."
12,일상 대화,"  자동차 있지?
  정촌은 차 필수임
  자동차  있어 키키 필수야
  어 맞아
  없으면 큰일 ㅜㅜ
  차만 있으면 참 좋은 동네야
  진짜 근데 돈도 많이 들고 키키
  친구 이번에 새 차 사서 핵부러워...
  나도 소형차 있었으면...
  월세도 많이 나가고 키키
  나도 새 차 사고 싶다...
  친구 무슨 차 샀는데?
  소형차가 최고지... 나도
  소형차든 뭐든 새 차가 좋아 ㅜㅜ
  누가 차 산거여 궁금
  주차가 중요해서 진짜 
  아빠가 사줬다 함
  새 차 뭔데... 무슨 차...
  무슨 차 산거예요?
  흑흑 부럽지...ㅜㅜ"
13,일상 대화,"  티비에 여우 반려동물로 키우는 사람 봤어
  대박 여우를 어디서 데려오냐
  여우라니 신기하다! 동화에나 나오는줄 알았는데
  너무 신기 하지않아? 첨에는 강아지인줄 알았어
  여우 사납지 않아?
  여우는 가만 보면 조금 무섭게 생겼어
  생각보다 강아지처럼 애교도 부리던데
  막 물거같은데 생각보다 애교쟁이네
  그러게 그정도면 키울만 한데?
  나도 사나울줄 알았는데 얼굴도 비비고 그러더라구
  근데 여우가 무슨색이야?
  주황색 같은 벽돌색 아니야?
  검은색이랑 흰색이랑 섞여 있더라
  오 실제로 보고싶다
  와 그럼 진짜 강아지같겠는데?"
14,일상 대화,"  나 이제 좀 있으면 카트라이더 승급전이야.
  벌써? 승급한지 얼마 안됐잖아.
  맞아. 이번에 게임 좀 많이 했어.
  대단한데? 이렇게 빨리 또 승급을 할줄야.
  요즘 밥만 먹고 카트라이더만 해서 그래.
  나랑 같은 등급이었는데 너가 훨씬 높네 이제.
  너는 요즘 카트라이더 안해?
  요즘은 안하는 거 같아.
  질렸나보구나. 나는 이만한 게임 없던데.
  그런거 같아. 나도 나중에 또 할수도 있어."
15,일상 대화,"  영화 뭐로 봐?
  우리는 넷플릭스 사용해
  영화 우린 어플로 봐
  난 넷플릭스 많이 봐
  우린 쿠팡플레이로 봐
  쿠팡 플레이는 처음들어보네
  그러게. 쿠팡플레이는 얼마야?
  그게 좋은점은?
  월 얼마던데 신랑이 해서 모르겠네
  쿠팡에 영화 많아?
  넷플릭스도 그렇게 다양한거 같진 않아
  넷플릭스는 얼마야?"
16,일상 대화,"  지하철타고 가는데 아직도 지하철에서 뭘 파는 사람이 있네요
  아직도 그런 사람이 있나요. 전 요즘은 못 봤는데
  지하철에서 파는 거 혹시 사본 적은 있어요
  아니요 사는 할아버지 할머니가 꼭 있더라구요
  저는 눈길도 안 줘요.
  그런데 무릎에 놓고 가고 그런 사람 있었어요. 보라고 하면서 말이죠.
  저는 그런분 안타까워서 몇 번 사준 적 있어요
  안타깝긴 한데 예전엔 그런사람들 조직폭력배가 많았다면서요
  조직폭력배요? 맙소사. 몰랐네요.
  지하철에 그런 사람들 좀 없어졌으면
  역시 지하철에서 파는 물건은 형편이 없어요
  예전에는 그런 일이 많았데요
  그럴 것 같아요. 종류는 엄청 다양한 것 같은데 다이소보다 못 한 것 같아요.
  자꾸 사주는 버릇 하니깐 계속 생기는 것 같아요 이젠 안 사야겠어요
  맞아요 그건 안사고 관심 안 가져 주는게 제일 이예요
  지하철에 그런 건 진짜 민폐예요."
17,일상 대화,"  지금 회사 인터넷 잘되나?
  지금 kt 인터넷 마비된거 같은데
  잘안되는것같다 SK가
  Sk 가 아니고 kt 쓰는사람들이 문제라는데
  아 여기 KT인가
  근데 내 SK폰도 잘 안되네
  헐 진짜? 이게 무슨 일이고
  인터넷이 안되는거는 큰 사회 문제네
  인터넷 마비는 우리 생활의 마비지
  지금 다른 병원들도 다 인터넷이 안된다고 난리났네 아주
  그래 인터넷안되면 사회가 마비되지
  그렇네 그회사는 괜찮나부네"
18,일상 대화,"  엇 재밌는 거 많이 개봉한다
  뭐 뭐 하는데 나도 극장가고 싶다
  재밌는 거 머한데?
  이터널스랑 강릉이랑 듄 봐야 함
  듄은 별로 재미없대
  코로나때매 가기가 좀...
  근데 난 강릉이 순이야
  러닝 타임도 시간 분이나되고...
  오래보면 힘들던데
  듄은 그거라던데 그 머야 우주 영화
  역시 남자는 깡패영화지
  깡패영화는 가야지
  아 이는 못 가겠네...
  키키 장염때문에 시간 몬 앉아 있음
  나...왜...?
또?
  시간 분은 넌 무리 일듯
  그니까 힘들다... 응꼬가"
19,일상 대화,"  나 파마 하고 싶당
  파마 하러 가랑께 하하
  저두요
  약간 씨컬로 하고 싶네용
  머리가 넘 참머리야...
  히피펌 잘 어울릴 듯 너
  헉 저는 약간 곱슬
  축축 쳐지는 것이 맘에 안 들어
  나도 한 참머리 하는데
  히피펌 약간 기대됩니다
  응 나 히피펌 하고 싶어
  나도 곱슬 부럽다
  곱슬이 부럽다구용 ?
  그니까 우리 같이 하장
  나도 좀 곱슬이고 싶다 
  난 김경호 수준?
  키키 부부 히피펌 어때용
  살짝 곱슬이 좋은 듯!  볼륨 있구
  아주 참머리 콤플렉스
  참머리는 머리카락 찰랑 차찰랑,"
20,일상 대화,"  엇 케이티 인터넷 고장 난 거 알지?
  케이티 고장 난 거 보상 없지/
  또 고장 난 거임?
뭐여
  그거 보상해 준다고 기사 봤음
  그거 보상해 줘야 하는 거 아닌가
  이번에는 왜 고장남?
  근데 인당 천원 해준데...
  오 보상해준다고 기사 났구나
  얼마나 보상해주는데? 헐헐
  천원 무엇? 키키
  웃기지 않니?
응?
  천원?
  그게 해주는 건가? 키키
  그게 무슨 보상이야;
  장난해?
  키키  응 가게는 천 원인가
  천원이 뭐야 대체...
  농담하는 거임? 키키
  못 믿어 키키
  근데 집에서 일하는 사람은?
  피해 엄청 많이 봤을텐데
  이거는 그냥 농락인데 키키"
21,일상 대화,"  엄마가 반찬을 정말 많이 보내주셨어
  정말? 어떤 거 보내주셨어?
  김치, 된장찌개, 각종 나물들...너무 많아서 다 말 못해주겠네
  부럽다. 어머니 사랑이 듬뿍 들어갔나봐
  맞아. 거의 한 달 가량 먹을 수 있을 것 같아
  우와 손이 정말 크신가봐
  무슨 잔치 열린 줄 알겠어
  나도 초대해줘. 같이 먹자.
  알겠어. 우리 엄마 솜씨 좀 봐
  고마워! 너무 부럽다!"
22,일상 대화,"  선생님은 참 좋은 직업인 듯
  선생님 겉만 좋아보이는직업이야
  방학 하면 같이 놀자누 좋지 않노?
  방학이 있잖아 부럽다
  요즘 교권이 너무 떨어졌음
  그건 인정이지
  왱왱 방학이 있어서 짱인듯
  얘들 말 진짜 안 듣자너
  이들 때리구 싶음
  교권은 너무 떨어지긴 했음
  방학 때 퍼센트 월급 주지도 않오
  월급 퍼 다 안 줌?
  촉법 폐지 해야 해 
  웅 방학 때는 좀 삭감됨
  촉법폐지는 인정이지
  학생들이 넘 막무가내인 듯...
  그래서 우리 때는 여름방학 보충수업 이런 걸로 메꿨자너
  매를 들어야 됨"
23,일상 대화,"  키키 아 결혼하기 전에 본가 가서 살고 싶다
  그러게 그럴 수 있을까 과연
  왜? 난 지금이 넘 행족해
  그냥 결혼하면 같이 가족들끼리만 살 날이 없잖아
  키키 그니까 금방일 듯
  시간 금방 가
  그래서 결혼 전에 잠깐 같이 살잖아
  한 일 년은 같이 살고 싶어 결혼 전에
  하긴 그래서 그런가 보다
  난 근데 독립한 지 오래돼서 별 생각 없어
  나도 하긴 나와 산 지가 벌써 년째라
  그렇구나 난 독립하면 집 그리울 것 같긴 해
  밥 먹을 때 빼고 그리운 적 없는 게 팩트
  난 너무 오래 나와 사니까 이제 그리워 가족들 품이
  키키 밥 먹을 때 뭔데
  키키 어이없어
  엄마 밥이 그리워...
  난 요리 못해...
  키키 오빠는 요리 못하게 생겼어 관상이
  키키 진짜 말넘심 키키
  그래도 하겠지 혼자 산 지 얼만데
  그래서 와이프는 요리사이면 좋겠어..."
24,일상 대화,"  오빠도 파마해랑 귀엽게
  응 파마 할께 하하
  파마 너무 좋지
  좀만 더 어려 보이게
  나도 히피펌 해야지
  염색도 추천 해
  나도 파마 하고 싶다
  눈썹문신도 하고 하하
  회색이나 노랑도 좋아
  나도 히피펌 하고 싶어
  염색 한번도 안해 봄 
  나도 파마 하고 싶네
  마자 점점 어려 보여야해
  나도 염색 해볼까 하하
  얼른 이번 주 파마 해야겠어
  파마하면 좀 젊어 보임
  한번 도전해봐야지 그럼 
  염색도 할까 고민중"
25,일상 대화,"  아는 언니 결혼식 때 입었던 웨딩드레스 너무 예뻤어~
  큰 차이는 잘 모르겠지만 풍성한 드레스 예뻐 보이더라~
  모든 신부들은 다들 예뻐 보이더라구요~ 하하
  벨라인도 예쁘고 머메이드도 예쁘고~
  음... 뭔지 잘 모르겠다 키키
  제 친구들 중에는 아직 결혼한 친구는 없어서여 키키
  아직 결혼하긴 좀 이른 나이지~
  이제 몇 년만 지나봐~
  여기저기서 청첩장 올 거야
  그렇겠죠? 키키
  이상할 거 같아여
  키키 친구들 하나씩 결혼하는 거 보면 너도 좀 조바심 날 거다
  아이 생겼다 그러면 더 이상해 기분 키키
  그럴 거 같아여 키키
  내 친구들이 결혼이라니
  결혼 준비하다가 엄청 싸우고 헤어지고 그런다잖어~
  그런 사람들 꽤 많어~
  요즘은 혼인신고도 안 하고 사는 사람들도 많잖아
  그건 좀 별로인 것 같아여
  나도 그렇게 생각했는데 한 년 있다가 하는 사람들도 꽤 있더라
  세금이나 혜택 때문에 그렇게 하는 경우도 있고
  아 그런 것도 있을 수 있군용"
26,일상 대화,"  나 취업준비해야는데 왜 이렇게 귀찮을 걸까?
  뭐든 다 귀찮긴해 나도
  그러니까. 돈은 벌어야 하는데 말이지.
  아르바이트나 간간히 하며 살 순 없는 걸까?
  아르바이트도 쉬운 일이 아니야 차라리 회사가 났지
  그런가? 파트타임으로 짧게만 하고 싶어.
  그렇게 살면 얼마나 좋겠어
  근데 삶이 그러지 못하네
  그러게 말이야. 열심히 회사 찾아봐야겠네
  요즘 주일 근무 회사도 있데 알아봐
  그거 좋다. 알아봐야 되겠네.
  그래 일 근무제 요즘 많다니까 너도 꼭 합격할거야"
27,일상 대화,"  집 좀 누가 치워 주라...
  앜 키키 너 청소 완전 마스터잖아 키키
  원룸살이 탈출해서 기쁘다 진짜
  와 집 치우기 넘 귀찮다 
  이제 넘 바빠서 못 치우는군 키키
  아 맞다
  나 다이슨 청소기 오늘 왔다 v
  요즘 청소 못한다... 
  아 진짜 신기한 현상이다 키키
  청소 한번 내가 해줄까 리얼
  청결 함을 잃었어...
  얌 다이슨을 샀다고?
  왜...
  로봇청소기 있잖아 키키 걔 시켜 키키
  로봇청소기는 샤오미가 좋다던데
  다이슨 진짜 별로던데... 그걸 샀네...?
  오 다이슨 비싸지 않냐
  응 다이슨 왜?
  다이슨 요즘 저렴해
  왜 이제 엄청 가벼워져서 좋은 거 아님?
  헐 다이슨 별로야? 겠네"
28,일상 대화,"  운전할 때 고속도로에서 크루즈 기능 써봤어?
  자동으로 운전하는 그건가?
  크루즈기능이 머야?
  속도를 맞춰주고 나는 발은 떼도 되는거
  맞아 난 써본적은 있어
  와 대박 근데 아직은 무서울것 같으데
  고속도로에서 속도 맞춰야할 때 좋더라고
  나도 좀 무서워서 한번 해보고 안해
  사고난 사례는 없데?
  핸들만 해도 되서 난 되게 편하던데
  다음에 또 도전해봐야겠네
  나는 자율주행 주차되는건 해보고 싶던데
  그래놓고 딴 짓하면 사고는 날 것 같긴 하다
  아직까지는 불안한게 사실이야
  미래되면 대리운전기사 없어지겠는걸"
29,일상 대화,"  경비원 아저씨들은 힘들겠어
  왜 그렇게 생각해?
  주민들 갑집이 너무 심하잖아
  맞아 다 그런건 아니지만
  내 아버지가 경비원 일을 하신다고 생각하면 너무 속상해
  그래도 이번에 고용노동부에서 개정안이 나왔잖아
  무슨 내용인데?
  아파트 경비원의 휴식 공간에는 냉난방 시설이 있어야 하고 월평균 회 이상의 휴일이 보장돼야 한대
  정말? 너무 잘됐다
  이제 마음이 조금 편해질 수 있겠어"
30,일상 대화,"  요즘 애견펜션이 있다고 해요
  애견들이 머무르는 펜션인가요?
  맞아요 동물을 사랑하는 사람이 많으니 이런 것도 생기네요
  동물들이 뛰어 놀 수 있는 독채펜션도 생겼다고 해요
  세상에... 애견들만 자는 독채펜션인가요?
  정말요? 동물이 사람보다 낫네요
  또 애견 풀빌라까지 갖추고 있다고해요
  저는 회사를 그만 두고 애견 사업을 해야 할 것 같습니다.
  저도 풀빌라 간게 언젠지 생각이 안나는데 그 집 애견이 되고 싶네요
  애견시장이 어디까지 커질지 궁금해요
  오늘부터 애견시장에 대해 공부해야겠습니다.
  인가구가 늘어나고 아이를 안낳게 되면서 더 많이 키우는 것 같아요"
31,일상 대화,"  포켓몬은 다들 봤겠지
  아 그걸 안 본 사람이?
  포켓몬은 무조건 봤지
  라떼는 포켓몬 빵을 하루에  개씩 샀는디
  피카츄 라이츄~ 파이리 꼬북이~
  키키 안볼 수 없어
  포켓몬 스티커 모으는 거 짱잼...
  키키 맞아 띠부띠부씰
  그거 안에 스티커 모아야 해서 매일 빵먹기 키키
  빵은 안 먹고 버렸잖아... 미안해 지구야
  빵 버리고 스티커 모으기
  맞아... 빵은 버렸어...스티커만...
  그 초코빵이 인기가 오졌음
  키키 맞아 키키 존맛탱
  키키 초코롤빵 진짜 맛있잖아
  피카츄는 잘 안 나왔던 듯
  간만에 먹고프네 키키"
32,일상 대화,"  코로나가 한참 심했을 때 재택근무를 해보신적 있나요?
  네 작년에 재택근무를 한적이 있었지요.
  아 그러시구나. 저는 업무 특성상 직접 보고 차를 구매해야하는거라 재택을 할 수가 없었네요.
  아 그러셨군요 힘드셨겠어요.
  네 그대신 방역수칙 철저히 지켜가며 고객을 방문해서 차량점검하고 매입을 해왔지요.
  네 그러셨군요. 저희는 재택근무때 처음으로 줌 화상회의를 해보았어요.
  아 줌 화상회의 어떤가요?
  해본적인 없어서 어떤 느낌일지 궁금해요.
  처음에는 생소하고 어색했는데 이제는 줌화상회의로 의사소통하는데 문제가 없어요.
  아 그렇군요. 저희 아이들 줌으로 화상수업하는 것을 보았는데 서로 상호작용도 되고 좋더라구요.
  네 맞아요. 과학의 발전은 놀랍네요."
33,일상 대화,"  다음 달이 드디어 대회인데 다들 준비는 됐어?
  그럼 난 부상도 이제 완전히 떨쳤어
  시간 참 빠르다
  넌 항상 부상을 달고 살아서 문제야 주의 좀 해
  내 플레이 스타일이 조금 부상을 유발하는 것 같기도 하고... 천천히 고쳐나가야지 하하
  넌 몸 괜찮아?
  다들 긴장은 안되나봐?
  네가 제일 문제야 저번에 긴장해서 실수나 하고 말이야
  그래 너도 몸 조심도 해야하고, 긴장도 줄이고 해야지! 우리 잘 할 수 있어 연습 때처럼만 하면
  맞아 이번에도 좋은 성적 못거두면 감독님 많이 화내실텐데...
  쟤 저번 대회 때 긴장해서 자살골 넣은거 기억나?
  기억나 키키 감독님이 그래서 화낸다는 것도 우리한테는 별로 해당이 안 돼 키키
  난 몰라~ 이번 경기만 끝나면 당분간은 혼자서 쉴거야
  언제까지 혼자 지내려고만 할거야 정말
  키키 또 삐졌다 농담이니까 너무 기 죽지 말고 가서 잘 하자 우리!
  키키 그래 잘해보자 내일 훈련때 보자고"
34,일상 대화,"  쇼미 보는  사람...
  나는 재밌게 보는 중
  쇼미 이번 시즌 안 봅니다...
  키키 아 쇼미 넘 재밌지 않니
  키키 왜 안 보는데 재밌드라
  뭔가 염따형... 안타까워서 못 보겠음
   이번 시즌 왜 안 봄
  근데 약간 엉망이긴 함... 잼민좌
  그리고 뭔가 끌리는 애가 없다... 키키
  염따형 왜 안타까워?
  이상한 애 올리고 욕먹는 중
  엄청 질타를 받고 있던데
  쿤타가 우승 할껀데
  근데 욕먹을만하더라… 키키
  욕을 먹을 만 하더라 진짜 보니까
  누구 우승 보심?
  왜 왜 뭔데
  쿤타 좋지… 간지나지 키키
  그래서 더 보기 싫다..."
35,일상 대화,"  미용을 배우고 싶어요
  저도 미용을 배우고 싶다는 생각을 가끔해요
  손재주가 좋으신가 봅니다.
  나중에 은퇴하고 미용실을 하고 싶어요
  카페도 하고 미용실도 하고 바쁘시겠습니다.
  미용실은 어떻게 보면 평생 직장 같더라고요
  손재주가 없지만 노력하면 할 수 있을까요?
  손재주가 없다면 말리고 싶습니다.
  그럼요 저는 노력하면 안되는 건 없다고 생각해요
  열심히 배워서 아이들과 남편 머리를 잘라주고 싶어요
  우선 남편과 아이들에게 합격점을 받고 생각하시지요.
  저도 어릴때 동네동생 머리 잘라주고 혼난 적이 있는데 그게 생각나네요"
36,일상 대화,"  난 봄이 젤 좋아
  난 겨울이 좋아
  저도 봄, 가을이 좋아요
  겨울도 조금 좋아
  겨울은 보드를 타러 갈 수 있으니 하하
  더운 거보단 시원한 게 좋죠
  이제 봄 가을은 삭제 되는 중...
  이번 겨울은 꼭 갈 거야 스키장에
  다들 스키 좋아하시나 봐요?
  이는 생일이 언제니?
  그니까 근데 지금 약간 또 여름임 키키
  저 월 일 겨울이요 하하
  내 생일은 봄이거든 하하
  난 생일이 다가와 하하
  맨날 그래서 방학 때 생일이라
  난 스키장을 좋아행 하하
  내랑 일 차이난다 하하
  친구들 보기가 애매한 시즌입니당"
37,일상 대화,"  동물 임시 보호에 대해 어떻게 생각해?
  그거 완전 좋은 일이지.
  넌 할수 있어?
  나는 동물을 그렇게 좋아하지 않아서 못 할 것 같아 
  맞아 나도 그렇게는 못 할 거 같아.
  그 분들 대단한거야.
  맞아 임시 보호하다가 정들어서 본인이 데려가는 경우도 있대.
  나도 그런 경우 들었어...
  그런 분들은 나중에 진짜 복 받으실거야.
  그러게 나중에 우리도 기회 되면 무서워도 임시 보호 해보자.
  그래 좋은 일이니까 동참 해보자."
38,일상 대화,"  너네 어제 국가대표 경기 봤어?
  어제 무슨 경기있었어?
  아니 과제하느라 못 봤어
  나만 본 거야 그 명경기를? 한국이 일본 축구 이겼잖아
  난 국대 경기는 잘 안 봐.
  몇 대 몇으로 이겼어?
  아 한일전을 놓쳤네 
  어제 경기는 진짜 재밌었는데 키키 대으로 이겼어!
  오 재밌었겠다. 한국에서 한 거야?
  와 어제 몇 시에 시작했어?
  어제 시쯤이었던 거 같은데? 월드컵 전에 친선 경기로 한국에서 했었어 키키
  직접 본 사람들은 진짜 재밌었겠다.
  난 축구 직관한 적 없어
  나도 축구장 가본 적 한 번도 없어 직접 가서 보면 더 재밌다던데
  직관은 안 해봤어 다들? 그러면 다음에 또 경기 열리는 데 그건 같이 보러 갈래?
  내가 표 한 번 구해볼게!
  응 난 야구만 직관해 보고 다른 경기들은 본 적이 없네.
  초대해 주면 당연히 가지
  좋아 기대된다"
39,일상 대화,"  애들이 피구 하자는데?
  여보가 애들한테 말한거야?
  아니 나는 왜 해요?
  사람수 채울려면 엄마 이모 다 필요하댔지
  여보랑 애들하고만 해
  할 시간도 없겠는데요
  그래서 주말에 할려고 하는거야
  아니야 난 못할 것 같아
  저도 주말에 시간이 없어요
  애들하고 피구 약속했는데 지켜야지
  그건 여보가 한 약속이잖아
  저하고는 상의도 없었어요"
